,,,,,,0 K,298.15 K (25 °C) and 0.1 Mpa (1 bar),,,,,
TlNO3,,,,ao,266.3749,-,-204.72,-145.75,-,269.9,-,
TlNO3<sup>2+</sup>,,,,ao,266.3749,-,-,90.4,-,-,-,
TlNH3<sup>+</sup>,,,,ao,221.4007,-,-,-53.9,-,-,-,
TlCl·3NH3,,,,cr,290.9151,-,-429.3,-,-,-,-,
TlCl3·3NH3,,,,cr,361.8211,-,-564.8,-,-,-,-,
TlBr·3NH3,,,,cr,335.3711,-,-398.7,-,-,-,-,
TlI·3NH3,,,,cr,382.3665,-,-349.4,-,-,-,-,
Tl2CO3,,,,cr,468.7494,-,-700.0,-614.6,-,155.2,-,
TlOCH3,,,,cr,235.4046,-,-205.4,-,-,-,-,
TlCH3CO2,,acetate,,cr,263.4152,-,-527.6,-,-,-,-,
TlCH3CO2,,,,ai,263.4152,-,-480.66,-401.71,-,212.1,-,
TlCH3CO2,,,,aq,263.4152,-,-484.5,-,-,-,-,
TlOC2H5,,,,l,249.4318,-,-236.4,-,-,-,-,
TlOC2H5,,,,aq,249.4318,-,-234.3,-,-,-,-,
Tl(CN)4<sup>-</sup>,,,,ao,308.4416,-,-,703.,-,-,-,
TlONC,,thallous fulminate,,cr,246.3873,-,115.5,-,-,-,-,
TlCNS,,,,cr,262.4519,-,28.5,38.55,-,163.,-,
TlCNS,,,,ai,262.4519,-,81.80,60.31,-,269.9,-,
TlCNS,,,,ao,262.4519,-,69.41,55.75,-,243.5,-,
Table 33:Zn,,,,,,,,,,,,
Zinc (Prepared 1967),,,,,,,,,,,,
Zn,,,,cr,65.3700,0,0,0,5.648,41.63,25.40,
Zn,,,,g,65.3700,130.181,130.729,95.145,6.197,160.984,20.786,
Zn,"in Hg:u, 2-phase",,,,65.3700,-,0,0,-,41.63,-,
Zn<sup>+</sup>,,,,g,65.3700,1036.561,1043.305,-,6.197,-,-,
Zn<sup>2+</sup>,,,,g,65.3700,2769.85,2782.78,-,6.197,-,-,
Zn<sup>3+</sup>,,,,g,65.3700,6602.4,6621.6,-,6.197,-,-,
Zn<sup>2+</sup>,,,,ao,65.3700,-,-153.89,-147.06,-,-112.1,46.,
ZnO,,,,cr,81.3694,-,-348.28,-318.30,-,43.64,40.25,
ZnO2<sup>2-</sup>,,,,ao,97.3688,-,-,-384.24,-,-,-,
ZnO2·2H2O,,,,cr,133.3996,-,-868.6,-,-,-,-,
ZnO·2ZnO2·2H2O,,,,cr,312.1378,-,-1542.2,-,-,-,-,
ZnO·2ZnO2·3H2O,,,,cr,330.1532,-,-1835.1,-,-,-,-,
ZnOH<sup>+</sup>,,,,ao,82.3774,-,-,-330.1,-,-,-,
HZnO2<sup>-</sup>,,,,ao,98.3768,-,-,-457.08,-,-,-,
Zn(OH)2,,,γ,cr,99.3848,-,-,-553.81,-,-,-,
Zn(OH)2,,,β,cr2,99.3848,-,-641.91,-553.52,-,81.2,-,
Zn(OH)2,,,ε,cr3,99.3848,-,-643.25,-555.07,-,81.6,72.4,
Zn(OH)2,,,precipitated,cr4,99.3848,-,-642.2,-,-,-,-,
Zn(OH)2,,,,ai,99.3848,-,-613.88,-461.56,-,-133.5,-251.,
Zn(OH)2,,,,ao,99.3848,-,-,-522.73,-,-,-,
Zn(OH)3<sup>-</sup>,,,,ao,116.3922,-,-,-694.22,-,-,-,
Zn(OH)4<sup>2-</sup>,,,,ao,133.3996,-,-,-858.52,-,-,-,
ZnF<sup>+</sup>,,,,ao,84.3684,-,-,-433.00,-,-,-,
ZnF2,,,,cr,103.3668,-761.78,-764.4,-713.3,11.828,73.68,65.65,
ZnF2,,,,ai,103.3668,-,-819.14,-704.64,-,-139.7,-167.,
ZnCl<sup>+</sup>,,,,ao,100.8230,-,-,-275.3,-,-,-,
ZnCl2,,,,cr,136.2760,-415.283,-415.05,-369.398,15.054,111.46,71.34,
ZnCl2,,,,g,136.2760,-,-266.1,-,-,-,-,
ZnCl2,,,,ai,136.2760,-,-488.19,-409.50,-,0.8,-226.,
ZnCl2,,,,ao,136.2760,-,-,-403.7,-,-,-,
ZnCl2,in aq HCl:u,,,,136.2760,-,-461.1,-,-,-,-,
ZnCl2,in 4.0 H2O,,,,136.2760,-,-443.09,-,-,-,-,
ZnCl2,in 5.0 H2O,,,,136.2760,-,-450.16,-,-,-,-,
ZnCl2,in 6.0 H2O,,,,136.2760,-,-452.12,-,-,-,-,
ZnCl2,in 7.0 H2O,,,,136.2760,-,-453.55,-,-,-,-,
ZnCl2,in 8.0 H2O,,,,136.2760,-,-454.80,-,-,-,-,
ZnCl2,in 10 H2O,,,,136.2760,-,-456.77,-,-,-,-,
ZnCl2,in 12 H2O,,,,136.2760,-,-458.44,-,-,-,-,
ZnCl2,in 15 H2O,,,,136.2760,-,-460.37,-,-,-,-,
ZnCl2,in 20 H2O,,,,136.2760,-,-463.00,-,-,-,-,
ZnCl2,in 25 H2O,,,,136.2760,-,-465.01,-,-,-,-,
ZnCl2,in 30 H2O,,,,136.2760,-,-466.73,-,-,-,-,
ZnCl2,in 40 H2O,,,,136.2760,-,-469.44,-,-,-,-,
ZnCl2,in 50 H2O,,,,136.2760,-,-471.54,-,-,-,-,
ZnCl2,in 75 H2O,,,,136.2760,-,-475.93,-,-,-,-,
ZnCl2,in 100 H2O,,,,136.2760,-,-477.98,-,-,-,-,
ZnCl2,in 200 H2O,,,,136.2760,-,-481.91,-,-,-,-,
ZnCl2,in 400 H2O,,,,136.2760,-,-483.75,-,-,-,-,
ZnCl2,in 500 H2O,,,,136.2760,-,-484.17,-,-,-,-,
ZnCl2,in 1000 H2O,,,,136.2760,-,-485.43,-,-,-,-,
ZnCl2,in ∞ H2O,,,,136.2760,-,-488.19,-,-,-,-,
ZnCl2,in 300 C2H5OH,,,,136.2760,-,-456.1,-,-,-,-,
ZnCl2<sup>+</sup>,,,,g,136.2760,-,869.0,-,-,-,-,
ZnCl3<sup>-</sup>,,,,ao,171.7290,-,-,-540.5,-,-,-,
ZnCl4<sup>2-</sup>,,,,ao,207.1820,-,-,-666.0,-,-,-,
ZnClO4<sup>+</sup>,,,,ao,164.8206,-,-,-163.1,-,-,-,
Zn(ClO4)2,,,,ai,264.2712,-,-412.54,-164.10,-,251.9,-,
Zn(ClO4)2,in 7 H2O,,,,264.2712,-,-402.71,-,-,-,-,
Zn(ClO4)2,in 8 H2O,,,,264.2712,-,-403.55,-,-,-,-,
Zn(ClO4)2,in 9 H2O,,,,264.2712,-,-404.51,-,-,-,-,
Zn(ClO4)2,in 11 H2O,,,,264.2712,-,-405.97,-,-,-,-,
Zn(ClO4)2,in 12 H2O,,,,264.2712,-,-407.06,-,-,-,-,
Zn(ClO4)2,in 15 H2O,,,,264.2712,-,-408.11,-,-,-,-,
Zn(ClO4)2,in 20 H2O,,,,264.2712,-,-409.11,-,-,-,-,
Zn(ClO4)2,in 30 H2O,,,,264.2712,-,-410.24,-,-,-,-,
Zn(ClO4)2,in 50 H2O,,,,264.2712,-,-410.45,-,-,-,-,
Zn(ClO4)2,in 75 H2O,,,,264.2712,-,-410.66,-,-,-,-,
Zn(ClO4)2,in 100 H2O,,,,264.2712,-,-410.87,-,-,-,-,
Zn(ClO4)2,in 200 H2O,,,,264.2712,-,-411.16,-,-,-,-,
Zn(ClO4)2,in 500 H2O,,,,264.2712,-,-412.54,-,-,-,-,
Zn(ClO4)2,in 1000 H2O,,,,264.2712,-,-412.5,-,-,-,-,
Zn(ClO4)2·6H2O,,,,cr,372.3636,-,-2133.38,-1555.2,-,545.6,-,
ZnCl2·3ZnO·5H2O,,,,cr,470.4612,-,-2884.4,-,-,-,-,
ZnCl2·4ZnO·11H2O,,,,cr,659.9230,-,-4951.3,-,-,-,-,
ZnCl2·5ZnO·8H2O,,,,cr,687.2462,-,-4432.1,-,-,-,-,
ZnCl2·8ZnO·10H2O,,,,cr,967.3852,-,-6030.8,-,-,-,-,
Zn(OH)Cl,,,,ao,117.8304,-,-,-472.7,-,-,-,
Zn2(OH)3Cl,,,,cr,217.2152,-,-,-1050.1,-,-,-,
ZnBr<sup>+</sup>,,,,ao,145.2790,-,-,-247.7,-,-,-,
ZnBr2,,,,cr,225.1880,-,-328.65,-312.13,-,138.5,-,
ZnBr2,,,,ai,225.1880,-,-396.98,-354.97,-,52.7,-238.,
ZnBr2,,,,ao,225.1880,-,-,-349.4,-,-,-,
ZnBr2,in 400 H2O,,,,225.1880,-,-392.38,-,-,-,-,
ZnBr2·2H2O,,,,cr,261.2188,-,-937.2,-799.5,-,198.7,-,
ZnBr3<sup>-</sup>,,,,ao,305.0970,-,-,-448.9,-,-,-,
ZnBr2·4ZnO·13H2O,,,,cr,784.8658,-,-5436.7,-,-,-,-,
ZnI<sup>+</sup>,,,,ao,192.2744,-,-,-182.0,-,-,-,
ZnI2,,,,cr,319.1788,-,-208.03,-208.95,-,161.1,-,
ZnI2,,,,ai,319.1788,-,-264.26,-250.20,-,110.5,-238.,
ZnI2,,,,ao,319.1788,-,-,-240.6,-,-,-,
ZnI2,in 3000 H2O,,,,319.1788,-,-256.9,-,-,-,-,
ZnI3<sup>-</sup>,,,,ao,446.0832,-,-,-291.6,-,-,-,
ZnI4<sup>2-</sup>,,,,ao,572.9876,-,-,-340.1,-,-,-,
Zn(IO3)2,,,,cr,415.1752,-,-,-433.70,-,-,-,
Zn(IO3)2,,,,ai,415.1752,-,-596.6,-402.8,-,124.7,-,
ZnI2·5ZnO·11H2O,,,,cr,924.1952,-,-4959.7,-,-,-,-,
ZnS,,wurtzite,,cr,97.4340,-,-192.63,-,-,-,-,
ZnS,,sphalerite,,cr2,97.4340,-,-205.98,-201.29,-,57.7,46.0,
ZnSO4,,,,cr,161.4316,-,-982.8,-871.5,-,110.5,99.2,
ZnSO4,,,,ai,161.4316,-,-1063.15,-891.59,-,-92.0,-247.,
ZnSO4,,,,ao,161.4316,-,-1047.7,-904.9,-,5.0,-,
ZnSO4,in 15 H2O,,,,161.4316,-,-1053.904,-,-,-,-,
ZnSO4,in 20 H2O,,,,161.4316,-,-1055.447,-,-,-,-,
ZnSO4,in 25 H2O,,,,161.4316,-,-1056.682,-,-,-,-,
ZnSO4,in 30 H2O,,,,161.4316,-,-1057.100,-,-,-,-,
ZnSO4,in 40 H2O,,,,161.4316,-,-1057.531,-,-,-,-,
ZnSO4,in 50 H2O,,,,161.4316,-,-1057.711,-,-,-,-,
ZnSO4,in 75 H2O,,,,161.4316,-,-1057.949,-,-,-,-,
ZnSO4,in 100 H2O,,,,161.4316,-,-1058.121,-,-,-,-,
ZnSO4,in 150 H2O,,,,161.4316,-,-1058.343,-,-,-,-,
ZnSO4,in 200 H2O,,,,161.4316,-,-1058.569,-,-,-,-,
ZnSO4,in 300 H2O,,,,161.4316,-,-1058.690,-,-,-,-,
ZnSO4,in 400 H2O,,,,161.4316,-,-1058.849,-,-,-,-,
ZnSO4,in 500 H2O,,,,161.4316,-,-1059.004,-,-,-,-,
ZnSO4,in 750 H2O,,,,161.4316,-,-1059.288,-,-,-,-,
ZnSO4,in 1000 H2O,,,,161.4316,-,-1059.493,-,-,-,-,
ZnSO4,in 1500 H2O,,,,161.4316,-,-1059.782,-,-,-,-,
ZnSO4,in 2000 H2O,,,,161.4316,-,-1059.987,-,-,-,-,
ZnSO4,in 3000 H2O,,,,161.4316,-,-1060.150,-,-,-,-,
ZnSO4,in 5000 H2O,,,,161.4316,-,-1060.657,-,-,-,-,
ZnSO4,in 7500 H2O,,,,161.4316,-,-1060.966,-,-,-,-,
ZnSO4,in 10000 H2O,,,,161.4316,-,-1061.180,-,-,-,-,
ZnSO4,in 15000 H2O,,,,161.4316,-,-1061.426,-,-,-,-,
ZnSO4,in 20000 H2O,,,,161.4316,-,-1061.648,-,-,-,-,
ZnSO4,in 30000 H2O,,,,161.4316,-,-1061.928,-,-,-,-,
ZnSO4,in 50000 H2O,,,,161.4316,-,-1062.230,-,-,-,-,
ZnSO4,in 100000 H2O,,,,161.4316,-,-1062.518,-,-,-,-,
ZnSO4,in 200000 H2O,,,,161.4316,-,-1062.736,-,-,-,-,
ZnSO4,in 500000 H2O,,,,161.4316,-,-1062.920,-,-,-,-,
ZnSO4,in 1000000 H2O,,,,161.4316,-,-1063.008,-,-,-,-,
ZnSO4,in ∞ H2O,,,,161.4316,-,-1063.15,-,-,-,-,
ZnSO4·H2O,,,,cr,179.4470,-,-1304.49,-1131.99,-,138.5,-,
ZnSO4·6H2O,,,,cr,269.5240,-,-2777.46,-2324.44,-,363.6,357.69,
ZnSO4·7H2O,,,,cr,287.5394,-,-3077.75,-2562.67,-,388.7,383.42,
ZnS2O6,,,,aq,225.4944,-,-1352.3,-,-,-,-,
ZnS2O6·6H2O,,,,cr,333.5868,-,-3076.1,-,-,-,-,
ZnO·2ZnSO4,,,,cr,404.2326,-,-2306.6,-2058.8,-,279.9,-,
ZnSO4·Zn(OH)2,,,,cr,260.8164,-,-,-1470.1,-,-,-,
ZnSe,,,,cr,144.3300,-,-163.,-163.,-,84.,-,
ZnSeO3,,,,ai,192.3282,-,-663.2,-516.7,-,-99.2,-,
ZnSeO3·H2O,,,,cr,210.3436,-,-930.9,-792.8,-,163.,-,
ZnSeO4,,,,cr,208.3276,-,-664.4,-,-,-,-,
ZnSeO4,,,,ai,208.3276,-,-753.1,-588.2,-,-58.2,-,
ZnSeO4,in 1200 H2O,,,,208.3276,-,-737.39,-,-,-,-,
ZnSeO4·H2O,,,,cr,226.3430,-,-982.8,-,-,-,-,
ZnSeO4·6H2O,,,,cr,316.4200,-,-2458.1,-,-,-,-,
ZnTe,,,,cr,192.9700,-,-117.6,-,-,-,-,
ZnN3<sup>+</sup>,,,,ao,107.3901,-,-,198.4,-,-,-,
Zn(N3)2,,,,cr,149.4102,-,218.,-,-,-,-,
Zn(N3)2,,,,ao,149.4102,-,-,542.3,-,-,-,
Zn3N2,,,,cr,224.1234,-,-22.6,-,-,-,109.,
Zn(NO3)2,,,,cr,189.3798,-,-483.7,-,-,-,-,
Zn(NO3)2,,,,ai,189.3798,-,-568.61,-369.57,-,180.7,-126.,
Zn(NO3)2,in 1.5 H2O,,,,189.3798,-,-506.7,-,-,-,-,
Zn(NO3)2,in 2.0 H2O,,,,189.3798,-,-513.8,-,-,-,-,
Zn(NO3)2,in 2.5 H2O,,,,189.3798,-,-519.7,-,-,-,-,
Zn(NO3)2,in 3.0 H2O,,,,189.3798,-,-525.5,-,-,-,-,
Zn(NO3)2,in 3.5 H2O,,,,189.3798,-,-530.5,-,-,-,-,
Zn(NO3)2,in 4.0 H2O,,,,189.3798,-,-535.6,-,-,-,-,
Zn(NO3)2,in 4.5 H2O,,,,189.3798,-,-539.3,-,-,-,-,
Zn(NO3)2,in 5 H2O,,,,189.3798,-,-543.1,-,-,-,-,
Zn(NO3)2,in 6 H2O,,,,189.3798,-,-548.9,-,-,-,-,
Zn(NO3)2,in 7 H2O,,,,189.3798,-,-553.1,-,-,-,-,
Zn(NO3)2,in 8 H2O,,,,189.3798,-,-556.5,-,-,-,-,
Zn(NO3)2,in 9 H2O,,,,189.3798,-,-559.0,-,-,-,-,
Zn(NO3)2,in 10 H2O,,,,189.3798,-,-560.61,-,-,-,-,
Zn(NO3)2,in 12 H2O,,,,189.3798,-,-562.92,-,-,-,-,
Zn(NO3)2,in 15 H2O,,,,189.3798,-,-564.80,-,-,-,-,
Zn(NO3)2,in 20 H2O,,,,189.3798,-,-565.93,-,-,-,-,
Zn(NO3)2,in 25 H2O,,,,189.3798,-,-566.35,-,-,-,-,
Zn(NO3)2,in 30 H2O,,,,189.3798,-,-566.64,-,-,-,-,
Zn(NO3)2,in 50 H2O,,,,189.3798,-,-567.18,-,-,-,-,
Zn(NO3)2,in 100 H2O,,,,189.3798,-,-567.64,-,-,-,-,
Zn(NO3)2,in 200 H2O,,,,189.3798,-,-567.48,-,-,-,-,
Zn(NO3)2,in 500 H2O,,,,189.3798,-,-566.97,-,-,-,-,
Zn(NO3)2,in 1000 H2O,,,,189.3798,-,-567.10,-,-,-,-,
Zn(NO3)2,in 2000 H2O,,,,189.3798,-,-567.4,-,-,-,-,
Zn(NO3)2,in ∞ H2O,,,,189.3798,-,-568.61,-,-,-,-,
Zn(NO3)2·H2O,,,,cr,207.3952,-,-805.0,-,-,-,-,
Zn(NO3)2·2H2O,,,,cr,225.4106,-,-1110.27,-,-,-,-,
Zn(NO3)2·4H2O,,,,cr,261.4414,-,-1699.12,-,-,-,-,
Zn(NO3)2·6H2O,,,,cr,297.4722,-,-2306.64,-1772.71,-,456.9,323.0,
ZnNH3<sup>2+</sup>,,,,ao,82.4007,-,-,-185.7,-,-,-,
Zn(NH2)2,,,,cr,97.4154,-,-159.8,-,-,-,-,
ZnN2H4<sup>2+</sup>,,,,ao,97.4154,-,-,-36.8,-,-,-,
Zn(NH3)2<sup>2+</sup>,,,,ao,99.4314,-,-,-225.0,-,-,-,
Zn(NH3)3<sup>2+</sup>,,,,ao,116.4621,-,-,-264.3,-,-,-,
Zn(N2H4)2<sup>2+</sup>,,,,ao,129.4608,-,-,89.7,-,-,-,
Zn(NH3)4<sup>2+</sup>,,,,ao,133.4928,-,-533.5,-301.9,-,301.,-,
Zn(N2H4)3<sup>2+</sup>,,,,ao,161.5062,-,-,217.4,-,-,-,
Zn(N2H4)4<sup>2+</sup>,,,,ao,193.5516,-,-,345.1,-,-,-,
Zn(NH3)4(NO3)2,,,,ai,257.5026,-,-951.4,-,-,-,-,
Zn(NO3)2·4Zn(OH)2,,,,cr,586.9190,-,-,-2612.1,-,-,-,
ZnCl2·NH3,,,,cr,153.3067,-,-560.7,-,-,-,-,
ZnCl2·2NH3,,,,cr,170.3374,-,-677.4,-503.2,-,264.0,-,
ZnCl2·2N2H4,,,,cr,200.3668,-,-480.28,-,-,-,-,
ZnCl2·4NH3,,,,cr,204.3988,-,-869.0,-554.9,-,378.2,-,
ZnCl2·4NH3·0.5H2O,,,,cr,213.4065,-,-1020.5,-,-,-,-,
ZnCl2·5NH3·H2O,,,,cr,239.4449,-,-1215.9,-,-,-,-,
ZnCl2·6NH3,,,,cr,238.4602,-,-1053.1,-597.1,-,486.6,-,
(ZnCl2)3·6NH4Cl·H2O,,,,cr,747.7936,-,-3483.6,-,-,-,-,
ZnCl2·8NH4Cl·ZnO,,,,cr,645.5790,-,-3218.8,-,-,-,-,
(ZnCl2)3·10NH4Cl·ZnO,,,,cr,1025.1144,-,-4417.9,-,-,-,-,
(ZnCl2)6·12NH3·ZnO,,,,cr,1103.3938,-,-4080.7,-,-,-,-,
ZnBr2·NH3,,,,cr,242.2187,-,-470.7,-,-,-,-,
ZnBr2·2NH3,,,,cr,259.2494,-,-592.0,-,-,-,-,
ZnBr2·2N2H4,,,,cr,289.2788,-,-400.49,-,-,-,-,
ZnBr2·4NH3,,,,cr,293.3108,-,-810.9,-,-,-,-,
ZnBr2·6NH3,,,,cr,327.3722,-,-1002.1,-,-,-,-,
ZnBr2·6NH3·H2O,,,,cr,345.3876,-,-1303.7,-,-,-,-,
ZnI2·NH3,,,,cr,336.2095,-,-351.5,-,-,-,-,
ZnI2·2NH3,,,,cr,353.2402,-,-476.1,-,-,-,-,
ZnI2·2N2H4,,,,cr,383.2696,-,-264.26,-,-,-,-,
ZnI2·4NH3,,,,cr,387.3016,-,-693.7,-,-,-,-,
Znl2·6NH3,,,,cr,421.3630,-,-883.7,-,-,-,-,
ZnSO4·(NH4)2SO4,,,,cr,293.5706,-,-2201.6,-,-,-,-,
ZnSO4·(NH4)2SO4·6H2O,,,,cr,401.6630,-,-3996.6,-,-,-,-,
Zn3P2,,,,cr,258.0576,-,-473.,-,-,-,-,
Zn(PO3)2,,,,cr,223.3140,-,-2083.2,-,-,-,-,
Zn(PO3)2,,,,am,223.3140,-,-2030.5,-,-,-,-,
Zn2(P2O7),,,,cr,304.6834,-,-2510.4,-,-,-,-,
Zn3(PO4)2,,,,cr,386.0528,-,-2892.4,-,-,-,-,
Zn3P4O13,,,,am,527.9974,-,-4479.4,-,-,-,-,
Zn5(P3O10)2,,,,am,832.6808,-,-6916.6,-,-,-,-,
ZnAs2,,,,cr,215.2132,-,-41.8,-,-,-,-,
Zn3As2,,,,cr,345.9532,-,-32.2,-,-,-,-,
Zn3(AsO4)2,,,,cr,473.9484,-,-,-1895.,-,-,-,
ZnSb,,,,cr,187.1200,-,-14.6,-,-,-,-,
ZnCO3,,,,cr,125.3794,-,-812.78,-731.52,-,82.4,79.71,
ZnCO3·H2O,,,,cr,143.3948,-,-,-970.6,-,-,-,
ZnC2O4,,oxalate,,ai,153.3900,-,-979.1,-820.8,-,-66.5,-,
ZnC2O4,,,,ao,153.3900,-,-,-849.3,-,-,-,
ZnC2O4·2H2O,,,,cr,189.4208,-,-1564.8,-1345.8,-,195.4,-,
Zn(C2O4)2<sup>2-</sup>,,,,ao,241.4100,-,-1802.0,-1537.5,-,130.,-,
CH3Zn<sup>+</sup>,,,,g,80.4052,-,900.,-,-,-,-,
Zn(CH3)2,,,,l,95.4404,-,23.4,-,-,-,-,
Zn(CH3)2,,,,g,95.4404,-,53.01,-,-,-,-,
(CH3)2Zn<sup>+</sup>,,,,g,95.4404,-,927.6,-,-,-,-,
Zn(C2H5)2,,,,l,123.4948,-,10.5,-,-,-,-,
Zn(C2H5)2,,,,g,123.4948,-,50.6,-,-,-,-,
ZnCHO2<sup>+</sup>,,formate,,ao,110.3880,-,-501.2,-,-,-,-,
Zn(CHO2)2,,,,cr,155.4060,-,-986.6,-,-,-,-,
Zn(CHO2)2,,,,ai,155.4060,-,-1005.00,-848.8,-,71.,-,
Zn(CHO2)2,,,,ao,155.4060,-,-,-854.3,-,-,-,
Zn(CHO2)2,in 500 H2O,,,,155.4060,-,-1003.3,-,-,-,-,
Zn(CHO2)2·2H2O,,,,cr,191.4368,-,-1584.9,-,-,-,-,
Zn(CHO2)3<sup>-</sup>,,,,ao,200.4240,-,-,-1202.7,-,-,-,
Zn(CHO2)4<sup>2-</sup>,,,,ao,245.4420,-,-,-1555.0,-,-,-,
Zn(CH3CO2)2,,acetate,,cr,183.4604,-,-1078.6,-,-,-,-,
Zn(CH3CO2)2,in 50 H2O,,,,183.4604,-,-1104.6,-,-,-,-,
Zn(CH3CO2)2,in 100 H2O,,,,183.4604,-,-1112.1,-,-,-,-,
Zn(CH3CO2)2,in 200 H2O,,,,183.4604,-,-1113.8,-,-,-,-,
Zn(CH3CO2)2,in 400 H2O,,,,183.4604,-,-1117.5,-,-,-,-,
Zn(CH3CO2)2,in 800 H2O,,,,183.4604,-,-1119.47,-,-,-,-,
Zn(CH3CO2)2·H2O,,,,cr,201.4758,-,-1376.1,-,-,-,-,
Zn(CH3CO2)2·2H2O,,,,cr,219.4912,-,-1672.3,-,-,-,-,
Zn(CH2OHCOO)2,,glycolate,,cr,215.4592,-,-1466.9,-,-,-,-,
Zn(CH2OHCOO)2,in 200 H2O,,,,215.4592,-,-1466.5,-,-,-,-,
Zn(CH2OHCOO)2·H2O,,,,cr,233.4746,-,-1767.3,-,-,-,-,
Zn(CN)2,,,,cr,117.4058,-,95.8,-,-,-,-,
Zn(CN)4<sup>2-</sup>,,,,ao,169.4416,-,342.3,446.9,-,226.,-,
(Zn(CN)2)3·ZnO,,,,cr,433.5868,-,-57.7,-,-,-,-,
ZnNH2CH2CH2NH2<sup>2+</sup>,,ethylenediamine,,aq,125.4698,-,-276.4*,-,-,-,-,
Zn(NH2CH2CH2NH2)2<sup>2+</sup>,,,,aq,185.5696,-,-400.3*,-,-,-,-,
Zn(NH2CH2CH2NH2)3<sup>2+</sup>,,,,aq,245.6694,-,-523.5*,-,-,-,-,
Zn(CH3CO2)2·NH3,,acetate,,cr,200.4911,-,-1202.9,-,-,-,-,
Zn(CH3CO2)2·2NH3,,,,cr,217.5218,-,-1302.5,-,-,-,-,
Zn(CH2OHCOO)2·2NH3,,glycolate,,cr,249.5206,-,-1693.7,-,-,-,-,
Zn(CH3CO2)2·4NH3,,,,cr,251.5832,-,-1479.0,-,-,-,-,
Zn(CH2OHCOO)2·4NH3,,,,cr,283.5820,-,-1881.5,-,-,-,-,
Zn(CH3CO2)2·6NH3,,,,cr,285.6446,-,-1648.1,-,-,-,-,
Zn(CH2OHCOO)2·6NH3,,,,cr,317.6434,-,-2050.6,-,-,-,-,
Zn(CH3CO2)2·8NH3,,,,cr,319.7060,-,-1816.3,-,-,-,-,
ZnCl2·NH2CH2CH2NH2,,,,cr,196.3758,-,-607.7*,-,-,-,-,
ZnCl2·3NH2CH2CH2NH2,,,,cr,316.5754,-,-843.2*,-,-,-,-,
ZnBr2·NH2CH2CH2NH2,,,,cr,285.2878,-,-485.1*,-,-,-,-,
ZnBr2·3NH2CH2CH2NH2,,,,cr,405.4874,-,-773.7*,-,-,-,-,
ZnI2·NH2CH2CH2NH2,,,,cr,379.2786,-,-396.9*,-,-,-,-,
ZnI2·3NH2CH2CH2NH2,,,,cr,499.4782,-,-657.0*,-,-,-,-,
Zn(CNS)2,,,,ao,181.5338,-,-,33.1,-,-,-,
Zn(CNS)4<sup>2-</sup>,,,,ao,297.6976,-,-,216.4,-,-,-,
Zn(NH3)2CS3,,,,cr,207.6346,-,-346.9,-184.0,-,180.,-,
ZnSiO3,,,,cr,141.4542,-,-1260.2,-,-,-,-,
Zn2SiO4,,,,cr,222.8236,-,-1636.74,-1523.16,-,131.4,123.34,
PbI2·2ZnI2,,,,cr,1099.3564,-,-588.3,-,-,-,-,
Zn(BO2)2,,,,cr,150.9896,-,-,-1562.99,-,-,-,
ZnAl2O4,,,,cr,183.3306,-,-2065.2,-,-,-,-,
Al2Cl6·1.5ZnCl2,,,,cr,471.0950,-,-1992.8,-,-,-,-,
Table 34:Cd,,,,,,,,,,,,
Cadmium (Prepared 1967),,,,,,,,,,,,
Cd,,,γ,cr,112.4000,0,0,0,6.238,51.76,25.98,
Cd,,,α,cr2,112.4000,-,-0.59,-0.59,-,51.76,-,
Cd,,,,g,112.4000,112.05,112.01,77.41,6.197,167.746,20.786,
Cd,"in Hg:u, 2-phase",,,,112.4000,-,-21.246,-9.740,-,13.159,-,
Cd<sup>+</sup>,,,,g,112.4000,979.81,985.96,-,6.197,-,-,
Cd<sup>2+</sup>,,,,g,112.4000,2611.19,2623.54,-,6.197,-,-,
Cd<sup>2+</sup>,,,,ao,112.4000,-,-75.90,-77.612,-,-73.2,-,
CdO,,,,cr,128.3994,-,-258.2,-228.4,-,54.8,43.43,
CdO2<sup>2-</sup>,,,,ao,144.3988,-,-,-284.4,-,-,-,
CdOH<sup>+</sup>,,,,ao,129.4074,-,-,-261.1,-,-,-,
HCdO2<sup>-</sup>,,,,ao,145.4068,-,-,-363.5,-,-,-,
Cd(OH)2,,,precipitated,cr,146.4148,-,-560.7,-473.6,-,96.,-,
Cd(OH)2,,,,ai,146.4148,-,-535.89,-392.10,-,-94.6,-,
Cd(OH)2,,,,ao,146.4148,-,-,-442.6,-,-,-,
Cd(OH)3<sup>-</sup>,,equivalent to HCdO2<sup>-</sup>(ao) + H2O(l),,ao,163.4222,-,-,-600.7,-,-,-,
Cd(OH)4<sup>2-</sup>,,equivalent to CdO2<sup>-</sup>(ao) + 2H2O(l),,ao,180.4296,-,-,-758.4,-,-,-,
CdF2,,,,cr,150.3968,-,-700.4,-647.7,-,77.4,-,
CdF2,,,,ai,150.3968,-,-741.15,-635.18,-,-100.8,-,
CdCl<sup>+</sup>,,,,ao,147.8530,-,-240.6,-224.39,-,43.5,-,
CdCl2,,,,cr,183.3060,-391.945,-391.50,-343.93,15.862,115.27,74.68,
CdCl2,,,,ai,183.3060,-,-410.20,-340.068,-,39.7,-,
CdCl2,,,,ao,183.3060,-,-405.0,-359.29,-,121.8,-,
